Pseudo;Contribution;Sujet;Consultation
CE;"  
 4. Sur la discussion en séance plénière

**Remarque** : La séance plénière est lourde, lente et en décalage manifeste avec la « vitesse de fonctionnement » de notre temps. Elle est souvent la répétition de débats déjà tenus en commission et l'occasion de médiatiser des points de désaccords politiques (ce que l'on comprend et que l'on doit préserver) mais de façon exagérément longue (ce qui explique des nuits de débats stériles dont les résultats sont pourtant connus dès le début des premiers échanges).


Le droit de la séance plénière est donc appelé à évoluer le plus significativement encore. La séance n'est plus le moment de l'amendement technique du texte. Le droit d'amendement en séance est supprimé.
Les commissions, qui sont l'endroit de l'examen du texte dans sa précision, en étant la fidèle représentation de la majorité à l'assemblée, discutent et votent les amendements. Elles tranchent aussi en amont la question des recevabilités. Les motions de rejet sont examinées en premier et dernier ressort par la commission compétente. La motion de renvoi en commission, privée d'objet, prend la forme d'une motion de report, elle-même discutée et votée en commission. Le texte ne vient donc en séance plénière que purgé de toutes les motions de procédure.

La fixation de l'ordre du jour est elle aussi retouchée. Une semaine par mois demeure à l'initiative du gouvernement. La deuxième est à l'initiative des parlementaires du groupe majoritaire, une séance par mois étant réservée à l'examen du texte d'un groupe d'opposition. Le reste de l'agenda est occupé par les activités de contrôle exercées par les parlementaires et par les évaluations du travail gouvernemental et des résultats des dispositifs législatifs : évaluation ex-post de façon classique ; mais aussi évaluation ex-ante devant conduire à la proposition de textes et à la contribution des parlementaires de la majorité à l'agenda législatif.

La discussion des textes est intégralement repensée et réduite. Les séances explicatives ont déjà lieu, on le sait, dans le cadre d'activité des différents groupes.  La discussion plénière est donc le moment des (nécessaires) postures politiques : celui-ci doit dès lors se limiter à résumer les grandes idées défendues relatives au texte débattu. La présentation générale se fait en 15 minutes par le gouvernement ou le rapporteur selon l'origine du texte. Le groupe majoritaire s'exprime cinq minutes puis les groupes minoritaires, à raison de 5 minutes chacun. La discussion générale s'engage dès après. Elle peut s'étendre sur une durée d'une heure trente. Il est interdit de lire ses interventions.

La procédure d'examen article par article est supprimée. Au terme de la discussion, seul un vote sur le texte définitif est effectué. Le vote est personnel et ne peut faire l'objet de plus d'une délégation de vote. Le texte rejeté devant l'assemblée nationale met fin à la procédure relative au texte discuté.


 **Remarque** : La pratique des questions orales au gouvernement deux fois par semaine est supprimée. Deux fois par mois a lieu une séance de débat avec le gouvernement (sans vote ni interpellation). Elle dure deux heures trente. Il y est interdit de lire ses interventions. 
Les procédures de vote bloqué (44-3) et d'engagement de la responsabilité (49-3) sont maintenues en l'état. 



1. 5.	En ce qui concerne la faculté d'amender 

Outre la suppression du droit individuel d'amendement et celle du droit d'amender en séance, les amendements examinés en commission sont préalablement soumis pour avis au Conseil d'Etat de façon systématique après examen préalable de leur recevabilité par l'Assemblée.
Le droit de sous-amender se limite à l'apport de correctifs mineurs.




2. 6.	Sur l'origine gouvernementale des textes législatifs


**Remarque** : Les textes émanant du gouvernement, c'est-à-dire ceux élaborés par les services gouvernementaux, échappent en intégralité à la représentation nationale. On reproche donc très souvent l'opacité et le caractère technocratique excessif de la source des normes législatives. Il s'agit ici de repenser l'origine et la nature profondes de la grande majorité des lois). 


Les avant-projets de lois sont donc soumis, en amont de leur dépôt sur le bureau du Sénat, à une délégation élue du groupe majoritaire de la commission compétente à l'Assemblée Nationale. La représentation nationale issue au suffrage universel direct est ainsi directement impliquée dans le processus d'élaboration des projets de lois sur lequel, en vertu du principe de rationalisation, le gouvernement garde la maîtrise du contenu en cas de désaccord ultime avec la délégation. Cela étant, la majorité élue est informée sur les enjeux réels et le processus concret de construction du projet promis à devenir une norme contraignante pour le pays tout entier.

**Remarque terminale** : L'idée de la co-construction des projets et de l'évaluation ex-ante (qui contribue à la détermination du besoin de norme) sont deux pistes de nature à permettre une meilleure lisibilité de la construction des lois dans le pays et une autre façon de penser l'agenda législatif porté par une majorité.

";"Réforme de la procédure législative";"Procédure législative et organisation parlementaire et droits de l'opposition"
ANY;"Peut-on éviter les redondances de présentations identiques dans différentes instances (commissions, hémicycle)
Selon des critères pré définis certains points pourraient n'être traités qu'une fois";"amélioration de la procédure parlementaire";"Procédure législative et organisation parlementaire et droits de l'opposition"
"Transparency International France";"S'agissant de l'organisation interne du Parlement, Transparency International France recommande d'améliorer la transparence et le contrôle sur les comptes du Parlement. Or, ces recommandations sont susceptibles d'appeler une réforme constitutionnelle, eu égard aux principes d'autonomie administrative et financière du Parlement et de liberté des partis politiques (et par extension des groupes parlementaires).

.
###Etat des lieux et enjeux

A l'Assemblée nationale, la responsabilité du contrôle et de l'audit interne repose sur une commission spéciale qui reçoit chaque année de la part des Questeurs un rapport sur le règlement des comptes et publie sur cette base à son tour un rapport donnant quitus aux Questeurs. Or, les parlementaires qui siègent dans ces commissions se plaignent régulièrement de son manque de pouvoir et de leurs difficultés à exercer leur vigilance.  Même les membres de la Commission des Finances chargés d'examiner le budget du Parlement peuvent avoir des difficultés à accéder aux documents comptables de l'Assemblée nationale. Par ailleurs, la presse s'est déjà fait l'écho d'incohérences entre les comptes publiés et les documents remis à la commission spéciale chargée de vérifier et d'apurer les comptes. Enfin, on ignore presque tout des procédures de contrôle interne et de leur place dans l'organisation administrative : dans l'organigramme officiel de l'Assemblée nationale, le service du budget, du contrôle financier et des marchés publics n'occupe au total qu'une vingtaine de personnes.
Par ailleurs, l'opacité des comptes des groupes parlementaires constitue l'un des maillons faibles de la transparence du financement de la vie publique. Plusieurs scandales de détournement d'argent ont défrayé l'actualité récente : crédit collaborateur détourné via le groupe parlementaire pour être rétrocédé à des sénateurs pendant plus de dix ans, versement occulte d'argent à un ancien président de groupe devenu ministre pendant trois ans, et prêt secret d'un groupe parlementaire pour renflouer les comptes d'un parti politique.
Des avancées notables ont été enregistrées ces dernières années. Les Questeurs publient un rapport annuel sensiblement plus détaillé qu'auparavant (plus de 200 pages). Depuis 2012, la présidence de ces commissions est désormais confiée à un membre de l'opposition, ce qui constitue une forme de garde-fou. L'Assemblée nationale publie sur son site Internet la liste de tous les marchés publics de plus de 20 000EUR passés depuis 2011.  Surtout, les comptes du Parlement font désormais l'objet d'une certification par la Cour des comptes, suite à une convention signée en 2013. Même si cette convention prévoit un contrôle essentiellement formel qui n'a pas pour objectif de mesurer l'efficience de la gestion ni d'apprécier l'efficacité des dépenses engagées au regard des objectifs poursuivis, la Cour des Comptes s'est tout de même penchée sur la qualité des dispositifs de contrôle interne, qui semblent être en voie d'amélioration. Néanmoins, les rapports de la commission spéciale chargée de vérifier et d'apurer les comptes restent lacunaires : de 2012 à 2016, le rapport de la commission spéciale chargée de vérifier les comptes  de l'Assemblée nationale ne fait que deux à trois pages, en-têtes et signatures inclus. De même, les rapports de la Cour des Comptes ne sont pas publiés dans leur version complète, incluant les réponses des Questeurs, mais uniquement sous forme d'une courte synthèse.

.
###Recommandations susceptibles d'appeler une réforme constitutionnelle

- **Remplacer l'actuelle commission spéciale chargée de vérifier et d'apurer les comptes par une commission des comptes mixte, qui inclurait des parlementaires et des membres indépendants**, et publierait un rapport annuel détaillé sur les comptes et l'exécution du budget, et sur la qualité des dispositifs de contrôle interne et d'attribution des marchés publics. Un contrôle extérieur obligerait en effet cette commission à davantage de volontarisme politique et de transparence. Pour que ses travaux soient efficaces, cette commission pourrait éventuellement se faire assister de magistrats détachés auprès de l'Assemblée.

**A l'étranger** : La plupart des démocraties cherchent à combiner les principes de séparation des pouvoirs et d'autonomie financière du Parlement, avec l'exigence accrue de transparence des comptes publics. 
Aux Etats-Unis, depuis 1992, la Chambre des Représentants accueille un inspecteur général (Office of Inspector General ou OIG), personnalité indépendante chargée d'établir chaque année un rapport d'audit comptable, budgétaire et financier. Le dernier rapport de l'OIG inclut un rapport d'audit détaillé, incluant les recommandations et la réponse du secrétaire général de la Chambre. Par ailleurs, l'ensemble des dépenses du Parlement sont publiées trimestriellement dans un format open data dans le Statement of Dibursments, à l'instar des dépenses des parlementaires (cf supra).  
En Finlande, le Parlement désigne parmi ses membres trois députés chargés du contrôle des comptes, et ceux-ci élisent deux autres auditeurs  (un titulaire et son adjoint) qui doivent être indépendants et certifiés.

- **Faire toute la transparence sur les comptes détaillés des groupes politiques parlementaires et obliger les groupes à se doter de dispositifs de contrôle interne.**
Un grand pas en avant a été réalisé sous la précédente législature en obligeant les groupes à se constituer en association et à publier leurs comptes certifiés. Toutefois, le budget et les dépenses des groupes politiques parlementaires restent encore très peu transparents : les rapports publiés ne sont pas suffisamment détaillés pour permettre un véritable contrôle et aucun groupe ne s'est doté d'un dispositif de contrôle interne digne de ce nom. De plus, si les noms des collaborateurs parlementaires de députés et de sénateurs sont désormais publics, ce n'est pas le cas des salariés des groupes.

**_A l'étranger_**
Le Parlement européen exige que les comptes de chaque groupe politique soient audités et publiés et fixe un corpus de règles auxquelles les groupes doivent se soumettre, notamment : obligation de se doter d'un budget annuel et de règles de contrôle interne qui sont rendues publiques, interdiction formelle d'utiliser ces fonds pour financer directement ou indirectement des partis politiques et des campagnes électorales, obligations de se doter de procédures pour l'attribution de marchés avec sollicitation obligatoire de devis auprès de plusieurs prestataires pour tout contrat d'une valeur supérieure à 15000EUR, renouvellement du commissaire aux comptes au moins tous les cinq ans. Lorsque la Commission du Contrôle Budgétaire constate des dépenses non conformes aux règles ainsi établies, le Bureau du Parlement Européen peut demander au groupe parlementaire concerné de rembourser une partie des fonds alloués.

.

**_Pour plus de détails sur nos recommandations :_**

Rapport ""Pour un Parlement Exemplaire"" (mai 2017) https://transparency-france.org/wp-content/uploads/2017/05/Rapport-parlementexemplaire.pdf
";"Transparence et contrôle des comptes du Parlement";"Procédure législative et organisation parlementaire et droits de l'opposition"
masthasa;"Bonjour,
Quelques idées, sans hiérarchie :
- Permettre une lecture de la loi aisée et accessible à tous ; vocabulaire, formulation juridique, structuration... 
- Réorganiser la discussion et le débat : par ex. : en hémicycle, présentation de la loi par l'exécutif, présentation par le Rapporteur du résultat de tous les travaux préparatoires amont nécessaires (à définir) puis motion de rejet préalable le cas échéant puis discussion générale sous forme d'un vrai débat et d'échanges entre les députés avec un temps de parole identique pour chacun des groupe, (temps de parole plus réduits pour non-inscrits) chaque groupe ayant pour obligation de mettre en exergue un nombre limité (à définir) d'éléments qui devront obligatoirement être pris en compte et débattus en commission, travail en commission avec notamment réponses motivées aux questions sortant de la discussion générale, pas de vote en commission mais avis réellement motivé par le rapporteur pour chacun des amendements présentés (limités à un contingent pour chacun des députes membres de la commission), vérification de constitutionnalité systématique afin d'éviter les désagréments lourds encore constatés ces jours derniers et de pallier un manque de robustesse juridique certain que semble mettre en évidence la QPC, tout amendement retoqué tombe sans pouvoir être remplacé, retour en plénière avec obligation d'un quorum de présents pour chacun des groupes (à définir) : séances sous contrôle du Président de séance (dépositaire de la procédure parlementaire) mais animées par le rapporteur qui présente les amendements tour à tour, y compris ceux ayant été retoqués pour non constitutionnalité dont il rappelle la cause, en argumentant ses avis donnés en commission, chacun étant commenté à leur tour par des orateurs de groupe (à organiser par chacun des groupes) limités en nombre, le temps de parole de chacun est encadré de façon raisonnable le but n'étant pas de brider la parole, avis motivé du gouvernement, vote des amendements en séance par l'ensemble des présents, puis vote de l'article. Le vote solennel de la loi est supprimé car c'est le vote du dernier article qui vaut adoption générale de la loi ; seuls les Présidents de groupe peuvent prendre la parole pour énoncer un bilan général et déposer une motion de renvoi en Commission. Des amendements nouveaux ne peuvent pas être présentés en plénière ce qui obligera les groupes à travailler en amont mais ce qui maintiendra également la possibilité pour chacun des députés de construire la loi même si il n'appartient pas à la Commission idoine.
- Chacune des lois doit faire l'objet d'une évaluation systématique en commission à compter d'une année de sa promulgation, chaque année et pendant une durée de cinq années au moins. Chacune des évaluations doit être précédée d'un avis du Conseil d'état, de la Cour de cassation, de la Cour des comptes, du CESE et du Ministère concerné. Si nécessaire, la Commission prend en charge la procédure législative ad hoc suite aux résultats de l'évaluation.
- Toute loi dont les textes d'accompagnement, notamment les décrets, ne sont pas pris dans un délai de six mois (?) fait l'objet d'un retour en commission pour évaluation des conséquences. Si cette dernière ne parvient pas à recadrer les dérives avec les parties prenantes en défaut, elle peut saisir le Conseil constitutionnel en QPC accélérée.
- Je donne ici mon avis sur le nombre de députés bien que cela paraisse hors sujet : je pense que ce dernier doit découler des tâches qu'on souhaite les voir réaliser et je pense après avoir rédigé ce qui précède que si l'on veut un résultat de qualité, il faudra réfléchir à deux fois à la réduction de leur nombre et évaluer en terme de conséquences pour les plus petits groupes d'opposition notamment si l'on souhaite les voir participer à tout et ne pas amoindrir leurs droits.
- En ce qui concerne les séances de questions au gouvernement, elle me paraissent très largement perfectibles ; que dire de ces trop nombreux députés le nez plongé dans leur papier (ce que P. Séguin avait banni en son temps), l'oeil anxieux régulièrement dirigé vers le chrono réalisant que leur propos trop verbeux ne pourra être réalisé dans le temps imparti et que dire des réponses gouvernementales victimes des mêmes avatars quand leurs propos de réponse ne sont pas hors sujet. De plus, ces séances ressemblent à un spectacle de théâtre avec ses propres règles de mise en scène : présence systématique du Président de l'Assemblée nationale, regroupement de députés derrière l'orateur, présence écrasante dans l'hémicycle, chahut judicieusement placé et ainsi de suite : on sait rapidement que l'on en tirera pas grand chose sinon le nourrissement des médias en petites phrases et conflits divers qui dégradent de façon déméritée l'image de l'Assemblée et de ses membres. Je pense qu'elles sont à bannir sous cette forme. Elles pourraient devenir intéressantes si : le nombre d'orateurs était moins important permettant des temps de parole un peu plus longs, le député s'exprimait de façon plus spontanée car il ne serait pas anormal d'attendre un minimum de talent oratoire des détenteurs de cette fonction, les questions étaient regroupées afin d'organiser des séances plus thématiques, les questions étaient systématiquement portées en avance à la connaissance des ministres permettant d'exiger d'eux des réponses argumentées, un droit de suite immédiat était possible.

Je ne sais pas si ma prose vous sera d'une quelconque utilité mais je suis très satisfait d'avoir pu contribuer.

J'espère qu'orthographe et syntaxe sont correctes car j'ai beaucoup écrit sans relire beaucoup !

Cordialement.


";"Procédure législative et autres";"Procédure législative et organisation parlementaire et droits de l'opposition"
CH;"Je salue l'initiative de F de Rugy qui a lancé cette réflexion sur le travail parlementaire. Après 3 mois de pratique, et un regard encore neuf, je souhaite faire part de quelques remarques et propositions. 
Comme déjà évoqué dans d'autres commentaires, la procédure est répétitive et demande à être simplifiée. Il faut toutefois garder une possibilité de vrais débats démocratiques.
- répartition des textes entre commissions : trop de textes sont directement orientés vers la commission des lois ou la commission des finances avec les autres commissions n'étant saisies que pour avis. L'inversion de cette logique, c'est-à-dire le fléchage des textes vers les commissions économie, développement durable, éducation... avec les lois et les finances en support permettrait d'avoir une approche des textes plus proche du fonctionnement du quotidien de nos concitoyens et de la société civile en général. 
- Certains textes pourraient n'être vu qu'en commission à condition d'ouvrir les débats et les droits de vote aux députés ne faisant pas parti de la commission saisie et qui souhaiteraient y participer.
- Contrairement à ce qui est dit dans une des contributions, le droit d'amendement individuel doit être conservé ainsi que la possibilité de proposition de loi 
- Lors de la procédure budgétaire, le passage en commission élargie puis en séance fait doublon. De plus, la simultanéité des réunions ne permet pas aux députés, le plus souvent de suivre toute la procédure, ce qui pose question sur l'intérêt démocratique de cette suite de revues.
";"efficacité de la procédure parlementaire";"Procédure législative et organisation parlementaire et droits de l'opposition"
HervéP;"Pour cette nouvelle législature, a notamment été mis en place un système de co-rapporteurs pour un certain nombre de missions budgétaires. Ce nouveau système a l'avantage de permettre à tous les députés d'un même groupe d'être rapporteur et de travailler en équipe sur une même mission. 

Or si les co-rapporteurs ont pu être associés lors des auditions, il a été impossible de fonctionner en binôme lors de l'examen en commission et en séance publique. Le temps de parole n'était prévu que pour une seule personne. 

L'Assemblée nationale devrait au contraire valoriser ce travail en équipe et permettre aux deux rapporteurs de s'exprimer et de bénéficier du même temps de parole. ";"Adaptation de la procédure aux co-rapporteurs";"Procédure législative et organisation parlementaire et droits de l'opposition"
MiPo;"Cette contribution est un résumé. La totalité de ce travail est le produit d'une réflexion juridique, approfondie et structurée. Il n'est pas possible d'en présenter ici tous les éléments et les spécificités. 

                              **  Le Conseil Législatif Citoyen (ou CLC).**

Il s'agit d'une part, de créer une réelle initiative législative populaire, et d'autre part, de rétablir le député dans ses fonctions de représentant de la Nation tout entière.

**Ce nouvel organe a pour vocation d'être un ""filtre"" entre les citoyens et les députés.
L'action du CLC est guidée par deux principes : impartialité et indépendance**

Sa mise en place et son fonctionnement n'engage que des fonds très limités au regard de sa composition, des compétences et de la procédure envisagée.
Le CLC est composé d'environ 140 personnes, en respectant la parité au sein de chaque catégorie.
Le CLC est composé d'intervenants locaux, de juristes et de représentants départementaux.
Pour préserver une totale indépendance, les membres du CLC :
-	Ne peuvent pas avoir le statut de fonctionnaire.
-	Sont bénévoles. Seuls les frais d'hébergement et de déplacement sont remboursés sur présentation de justificatifs.
-	Sont nommés en interne, par les membres en place. Aucune instance étatique intervient dans le processus de désignation, à l'exception de la mise en place du premier CLC.

Le CLC a trois compétences principales :
o	La vérification de l'opportunité et de la pertinence de la sollicitation reçue.
o	La présentation au(x) député(s) de nouveaux textes. 
o	Le contrôle du travail parlementaire sur le texte présenté.

**Aperçu de la procédure devant le CLC** : elle s'effectue dans un délai maximum de deux mois.
Un groupe de citoyen met en place **une sollicitation**, en ligne et / ou en présentiel, dans le but de recueillir 10 000 signatures. Ce texte est présenté et argumenté devant le CLC par un représentant départemental.
À l'issue d'un débat, de vérifications et de la rédaction, le texte définitif est soumis au député, qui, en fonction de l'objectif visé, le porte devant les différentes instances du Parlement, comme une proposition de loi ou un amendement. 
Le député doit rendre compte au CLC de l'avancée de la procédure jusqu'à l'adoption du texte.
Une nouvelle collaboration doit se mettre en place.
Cette nouvelle instance peut inciter les citoyens à reprendre possession de la vie démocratique, à intervenir pleinement dans l'élaboration des textes qui régissent leur vie quotidienne.

L'intégralité de cette contribution est disponible sur demande à micheleponties@gmail.com
";"Le Conseil Législatif Citoyen";"Procédure législative et organisation parlementaire et droits de l'opposition"
"Regards Citoyens";"La Constitution française donne deux missions au Parlement : contrôler l'action du gouvernement et voter la loi. Si les missions de contrôle font l'objet d'une transparence satisfaisante, le Parlement reste encore à ce jour assez opaque en ce qui concerne le vote de la loi.

En effet, l'immense majorité des scrutins réalisés en commission comme en plénière ne font pas l'objet d'un relevé des votes mais simplement d'un décompte à main levée dont seul le résultat est notifié. Seuls quelques rares votes sont effectivement enregistrés par la pratique des scrutins dits publics et solennels, réalisés au Sénat dans des urnes à la tribune et électroniquement à l'Assemblée nationale.

Si le nombre d'amendements mis au vote est tel que systématiser les scrutins publics pourrait paraître complexe, il semble pour autant anormal que les citoyens ne soient pas en mesure de connaître a minima la position de leurs représentants sur les grandes lignes des lois votées au Parlement. À défaut de réaliser des scrutins publics pour l'ensemble des amendements, un socle minimal de transparence de la procédure pourrait être assuré en systématisant les scrutins publics sur chacun des articles des lois amendées.

Un raccourcissement du délai prévu au règlement entre l'annonce d'un scrutin public et sa tenue pourrait également être envisagé afin de fluidifier le déroulement des débats.

Il est en revanche crucial de ne pas tendre à une bureaucratisation des votes : les parlementaires doivent voter dans la foulée du débat sur chacun des amendements et des articles et surtout pas en enchaînant d'un bloc un ensemble de votes à la chaîne lors d'une série de scrutins décorrélés du débat. La méthode du Parlement Européen consistant à organiser des séances de débats, puis séparément des séances de votes en série sont absolument incompréhensibles par les citoyens. Il en est de même pour le mécanisme des secondes délibérations que peuvent aujourd'hui demander le Gouvernement ou le président de la commission saisie au fond ; aujourd'hui permises par la Constitution, celles-ci sont à proscrire : le résultat d'un vote devrait être le résultat du consensus obtenu sur les bancs entre les députés ayant participé au débat et certainement pas un simple entérinement politique d'une décision prise en dehors de la procédure parlementaire.";"Systématiser les scrutins publics sur les articles";"Procédure législative et organisation parlementaire et droits de l'opposition"
"Regards Citoyens";"L'accélération des discussions relatives aux projets et propositions de loi par l'emploi de plus en plus systématique de la procédure accélérée (dite d'urgence) pour nombre de textes, confère un rôle crucial à l'étape de conciliation entre le Sénat et l'Assemblée. Ces Commissions Mixtes Paritaires (CMP) qui réunissent 14 parlementaires, 7 de chaque chambre, se tiennent pourtant toujours à huis-clos et leurs délibérations ne font que l'objet d'un compte rendu le plus souvent extrêmement succinct. Au vu de l'impact qu'ont ces décisions sur le texte finalement adopté, ce manque de transparence pose problème et entrave conséquemment toute évaluation de l'empreinte législative.

Il convient donc d'offrir une plus grande transparence aux délibérations qui ont lieu dans ces CMP en :
- systématisant la captation vidéo et retransmission en direct de ces réunions ;
- produisant un compte-rendu détaillé des débats qui s'y déroulent comme pour l'hémicycle et les commissions, et ce y compris lors de l'échec de ces CMP.";"Rendre publics les débats en CMP";"Procédure législative et organisation parlementaire et droits de l'opposition"
"Regards Citoyens";"Qu'il s'agisse d'Hadopi, du Grenelle de l'environnement, du Mariage pour tous ou encore des lois Travail, les grandes lois sociétales sont toujours l'occasion pour de nombreux citoyens de découvrir le Parlement et la procédure législative, d'apprendre à les comprendre et pour certains d'y trouver goût. Il est en effet possible pour les citoyens ayant la chance d'obtenir une invitation par leur député d'assister aux débats parlementaires.

Cependant, du fait des horaires de travail classiques, les séances du soir restent les plus accessibles à la fois en vidéo et physiquement. Supprimer ces séances, comme cela a pu être évoqué, causerait ainsi un recul dans l'accessibilité et l'ouverture du débat parlementaire aux citoyens.";"Conserver les séances plus accessibles des soirées";"Procédure législative et organisation parlementaire et droits de l'opposition"
"Regards Citoyens";"Certaines lois sur des grands thèmes sociétaux comme Hadopi, le Grenelle de l'environnement, le Mariage pour tous ou encore les lois Travail, attirent parfois fortement l'attention des citoyens, qui s'intéressent alors massivement au fonctionnement législatif du Parlement. À ces occasions, de nombreux citoyens découvrent pour la première fois le fonctionnement quotidien des assemblées et de nombreuses incompréhensions peuvent se créer.

Afin de pouvoir profiter de l'intérêt des citoyens pour expliquer le fonctionnement législatif du Parlement, il faudrait ajouter à la Constitution une procédure de loi d'intérêt citoyen : une fois qu'un certain nombre de citoyens, par exemple 50 000, aura notifié son intérêt pour un projet ou une proposition de loi à l'ordre du jour, et avant son premier examen en commission, la procédure d'intérêt citoyen se met en oeuvre.

L'activation de cette procédure déclencherait les dispositions suivantes :
- abandon le cas échéant de la procédure accélérée pour ce texte ;
- suspension de tous les autres travaux des assemblées, notamment des commissions, durant l'examen du texte en hémicycle pour permettre à tous les parlementaires de participer aux débats sur ce texte ;
- suspension de tous les travaux parlementaires pendant par exemple une semaine avant l'étude du texte à l'Assemblée, afin de permettre aux parlementaires de rentrer dans leurs circonscriptions respectives pour discuter du texte avec les citoyens.

Un certain nombre de modifications non constitutionnelles devraient également être mises en place, comme la retransmission des débats sur les chaînes parlementaires, l'organisation d'une consultation dont le dépouillement précédera les auditions des rapporteurs, ou encore des modalités étendues d'audition des acteurs de la société civile par les rapporteurs, par exemple en hémicycle afin de permettre à l'ensemble des élus de prendre connaissance des enjeux présentés.

Cette proposition vise à rétablir le contact entre le travail parlementaire et les citoyens sur les dossiers qui les intéressent tout particulièrement. Sur ces sujets, le Parlement et la démocratie gagneront à prendre le temps de se mettre au rythme des citoyens qui ne s'intéressent qu'occasionnellement au travail législatif.";"Créer une procédure pour ""lois d'intérêt citoyen""";"Procédure législative et organisation parlementaire et droits de l'opposition"
"Démocratie 14";"Je trouve que la presse ne remplie pas son rôle d'information et de compréhension des débats de l'assemblée nationale vers le citoyen .
Comment l'améliorer , la diffuser , clarifier en termes simples les débats nationaux vers le citoyen lambda en région ? Est ce un axe de travail des parlementaires 
  ";"ouverture du débat démocratique vers le citoyen  ";"Les moyens de contrôle et d'évaluation"
francis;"Bonjour, il serait sain pour la démocratie qu'une dose significative de proportionnelle soit appliquée pour l'élection des députés. ";proportionelle;"Les moyens de contrôle et d'évaluation"
"Catherine T.";"En écoutant votre première séance introductive, j'attirerais votre attention sur la nécessité de définir une gradation dans ce que l'on contrôle, afin d'éviter l'écueil de la mise en place de KPIs/indicateurs qui ont souvent des effets pervers voire contreproductifs.

Ainsi, je controlerais 3 niveaux :
- «interrogation» : premier niveau de contrôle, effectivement géré par des indicateurs. En cas de problème détecté, proposition de mesures correctrices, ou peaufinage des indicateurs, rien de grave
- «alerte» : plus grave, quand les delais ne sont pas respectés et que ce fait risque de denaturer l'atteinte de l'objectif lui même (notamment si le benefice d'une loi était nécessaire pour une autre ou si la derive va etre couteuse en termes d'opportunité / perte de marché, position dominante du pays,...) : on peut declencher des moyens supplémentaires, paralleliser des process, ou faire appel en urgence à la société civile bénévolement
- «refonte» : un «sens» devrait être defini en tête de chaque loi, pour ne jamais perdre de vue la vision, la raison d'être d'une loi. Et si le «sens» est trahi (cela peut venir d'un element externe qui bouleverse tout, ou d'un vice de conception fondamental de la loi), alors il faut lancer des mesures de sauvegarde pouvant aller jusqu'à une procedure urgente avec echeance pour refaire la loi en profondeur, et/ou la suspendre.

Ce que je veux dire est que le contrôle du «sens» est le plus important, bien avant le contrôle qu'il serait tentant / facile de limiter à l'aspect opérationnel.

Enfin, quand on parle d'évaluation, il faudrait peut être poser comme principe qu'aucun rapport de contrôle ne sera considéré comme complet s'il ne fait pas pour chaque eventuel dysfonctionnement constaté une proposition très concrete de solution.
";"Definition préalable des niveaux de contrôle";"Les moyens de contrôle et d'évaluation"
sdm94;"Dans cette  première séance introductive un sujet est clairement passé au dessous des radars, c'est celui du contrôle de toutes les nominations faites par l'exécutif. 
A mon sens, si l'on veut un début de séparation des pouvoirs, il serait souhaitable que toutes les Autorités Administratives Indépendantes soient nommées par le législatif et non par l'exécutif.";"Contôle des nominations";"Les moyens de contrôle et d'évaluation"
chparise;"Une pléthore d'agence nationales ont été créées au fil du temps par des gouvernements avec des besoins réels ou pour recaser un personnage du mode politique. Cette charge budgétaire très importante déjà dénoncée par la cour des comptes est totalement opaque. Il serait normale que l'assemblée nationale effectue un contrôle de ces agences et vérifie le bien fondé de leur existence, les doublons éventuels, quel bénéfice pour quel résultat... 
Le parlement devant s'assurer périodiquement que telle ou telle agence se doit toujours d'exister.";"Contrôle des agences nationales diverses";"Les moyens de contrôle et d'évaluation"
Politiques=profiteurs;"Pour contribuez aux bon fonctionnement de l'assemblée , il faut déjà que vous soyez irréprochables . En effet quand on a cela qui est diffuserhttp://www.lcp.fr/actualites/info-lcp-des-lobbyistes-un-restaurant-de-luxe-des-parlementaires-et-le-dircab-de-muriel. On peux se poser beaucoup de question sur votre loi de moralisation et surtout sur les loi que vous voyez.";"Députés et lobbys qui dejeune ensemble (loi de mor";"Les moyens de contrôle et d'évaluation"
